OrganizationName,ProjectID_Simple,ProjectName,ganttOrder
Clearwater Resource Council,ADOPTALAKE,Adopt-A-Lake Volunteer Monitoring Program,4
Big Horn River Alliance ,BHRA-BIGHORN,Big Horn River Alliance Water Quality Sampling,28
Big Hole River Foundation,BHRF-WQ,Big Hole River Water Quality,29
Big Hole Watershed Committee,BHWC-ELKMM,Elkhorn Mine & Mill Restoration Project: Water Quality Monitoring,31
Big Hole River Foundation & Big Hole Watershed Committee,BIGHOLE-ALGAE,Big Hole River Algae Bloom,30
Bitterroot River Protection Association,BITR-BRPA,Bitterroot River Mainstem Monitoring by Bitterroot River Protection Association,20
Beaverhead Watershed Committee,BVHD-INSECT,Beaverhead River Macroinvertebrate Monitoring,33
Carbon Conservation District & Clarks Fork Yellowstone Partnership,CARBON-CD,Carbon Conservation District Monitoring,22
Clearwater Resource Council,CLEARWATER-BASIN,Clearwater Resource Council Water Quality Testing Program,13
Clearwater Resource Council,CLEARWATER-NUT,"Clearwater Watershed Synoptic Stream Nutrient, Turbidity and Flow Monitoring",12
Broadwater Conservation District,DEEPCREEK,Deep Creek Temperature and Flow Monitoring,14
Flathead Rivers Alliance,FRA-WQ,Flathead Wild & Scenic River Baseline Data,39
Greater Gallatin Watershed Council ,GGWC,Greater Gallatin Watershed Council Volunteer Monitoring Program,7
Gallatin Local Water Quality District ,GLWQD-SWMN,Gallatin Local Water Quality District Surface Water Monitoring Network,19
The Jack Creek Project,JCP,Jack Creek Volunteer Water Quality Monitoring,10
Kootenai Watershed Allies,KWAWQ,"Selenium, Nutrient & Water Quality Monitoring on tributaries of the Kootenai River and Koocanusa",38
Friends of Lake Mary Ronan,LAKEMARYRONAN,"Lake Mary Ronan, Donaldson Creek, Freeland Creek and Ronan Creek Water Monitoring Study",24
Little Bitteroot Lake Association ,LB-LAKE,Little Bitteroot Lake Eutrophication Study,26
Lake Helena Watershed Group,LHVWM,Lake Helena Watershed Volunteer Water Monitoring,8
Sun River Watershed Group,M13SUNR,Sun River Watershed Monitoring Project,1
Mission Bay Preserve HOA,MBPHOA_POND,Mission Bay Preserve HOA Casting Pond,43
Seeley-Swan High School,MORRELL,Morrell Creek 2012-2013 Nutrient Sampling,11
Madison Stream Team ,MST,Madison Stream Team Volunteer Water Quality Monitoring Program,2
Missoula Valley Water Quality District ,MVWQD,Missoula Valley Water Quality District Volunteer Monitoring,23
Musselshell Watershed Coalition,MWC-SAL,Musselshell Watershed Coalition Salinity,9
Northwest Montana Lakes Network,NMLN,Northwest Montana Lakes Network,5
Northwest Montana Lakes Volunteer Monitoring Network,NWMTLVMN,Northwest Montana Lakes Volunteer Monitoring Network,6
Central Montana Resource Council,RFC-WQ,Central Montana Resource Council Ross Fork Creek Monitoring,42
Rock Creek Watershed Group & Carbon County Resource Council,ROCK-CREEK,Rock Creek Water Quality Monitoring,36
Bitterroot River Protection Association,SFWQ,Sapphire Front Project,21
Smith River Habitat Project ,SRHP,Smith River Habitat Project Volunteer Water Monitoring,18
Stillwater Valley Watershed Council,SRWQI,Stillwater Rosebud Water Quality Initiative,32
Seeley-Swan High School & Clearwater Resource Council,STUDENTS-IN-ACTION,Student Water Quality Testing Program,37
Flathead Lakers,SWIM-RWQ,Swim Guide Recreational Water Quality Testing,35
Thompson Chain of Lakes Stewardship Coalition,TCLSC-CLH,"Thompson Chain of Lakes Stewardship Coalition Crystal, Lavon, and Horseshoe Lakes",41
Trout Unlimited,TU-BF,Lower North Burnt Fork Creek 2019 Monitoring,27
Gallatin River Task Force,UG-GRTF,Upper Gallatin Gallatin River Task Force Volunteer Monitoring*,17
Upper Missouri Watershed  Alliance,UMOWA,"Upper Missouri River Aquatic Macroinvertebrates, Aquatic Plants, and Water Chemistry Study",15
Gallatin River Task Force,UPGAL-GRTF,Upper Gallatin Watershed Nutrient and Algae Monitoring,16
Whitefish River Water Quality Monitoring Team,WRH20QTEAM,Whitefish River Water Quality Monitoring Project,40
Whitefish Lake Institute,WWQMP,Whitefish Water Quality Monitoring Project,3
Yellowstone Ecological Research Center ,YERC-RIVERNET,Yellowstone Ecological Research Center RiverNET Community Monitoring,25
Yaak Valley Forest Council ,YVFC,Yaak Valley Forest Council Water Quality Monitoring Program,34
