ProjectID_Simple,Parameter_type,Goal_baseline,Goal_trend,Goal_source,Goal_effective,Goal_education,OrganizationName,ProjectName,ganttOrder,ProjectNameShort,dataCount,dataRange_yrs,median_analytes_per_year,median_sites_per_year,median_sampling_days_year,median_months_per_year
UG-GRTF,Nutrients,0,1,0,1,0,Gallatin River Task Force,Upper Gallatin Gallatin River Task Force Volunteer Monitoring*,19,Gallatin TF VM,231,4,3,16,2,1
UG-GRTF,Biological,0,1,0,1,0,Gallatin River Task Force,Upper Gallatin Gallatin River Task Force Volunteer Monitoring*,19,Gallatin TF VM,27,3,1,11.5,6,1.5
UG-GRTF,Physical,0,1,0,0,0,Gallatin River Task Force,Upper Gallatin Gallatin River Task Force Volunteer Monitoring*,19,Gallatin TF VM,27,3,1,11.5,6,1.5
UG-GRTF,Chemical,0,0,1,0,0,Gallatin River Task Force,Upper Gallatin Gallatin River Task Force Volunteer Monitoring*,19,Gallatin TF VM,95,2,2.5,18.5,2.5,1
UG-GRTF,Sediment,0,1,0,1,0,Gallatin River Task Force,Upper Gallatin Gallatin River Task Force Volunteer Monitoring*,19,Gallatin TF VM,23,1,1,21,3,1
ADOPTALAKE,Physical,1,0,0,0,1,Clearwater Resource Council,Adopt-A-Lake Volunteer Monitoring Program,4,Clearwater Lakes,2549,12,2,14.5,57,6
ADOPTALAKE,Nutrients,1,0,0,0,1,Clearwater Resource Council,Adopt-A-Lake Volunteer Monitoring Program,4,Clearwater Lakes,392,1,4,24,20,6
ADOPTALAKE,Biological,1,0,0,0,1,Clearwater Resource Council,Adopt-A-Lake Volunteer Monitoring Program,4,Clearwater Lakes,164,1,2,18,5,4
BHRA-BIGHORN,Physical,1,1,1,0,0,Big Horn River Alliance,Big Horn River Alliance Water Quality Sampling,29,Big Horn River,440,4,2,8,8,4
BHRA-BIGHORN,Chemical,1,1,1,0,0,Big Horn River Alliance,Big Horn River Alliance Water Quality Sampling,29,Big Horn River,429,4,2,9,11,4
BHRA-BIGHORN,Nutrients,1,1,1,0,0,Big Horn River Alliance,Big Horn River Alliance Water Quality Sampling,29,Big Horn River,696,4,4,9,11,4
BHRA-BIGHORN,Sediment,1,1,1,0,0,Big Horn River Alliance,Big Horn River Alliance Water Quality Sampling,29,Big Horn River,463,4,3,9,11,4
