ProjectID_Simple,Parameter_type,Goal_baseline,Goal_trend,Goal_source,Goal_effective,Goal_education
UG-GRTF,Nutrients,0,1,0,1,0
UG-GRTF,Biological,0,1,0,1,0
UG-GRTF,Physical,0,1,0,0,0
UG-GRTF,Chemical,0,0,1,0,0
UG-GRTF,Sediment,0,1,0,1,0
ADOPTALAKE,Physical,1,0,0,0,1
ADOPTALAKE,Nutrients,1,0,0,0,1
ADOPTALAKE,Biological,1,0,0,0,1
BHRA-BIGHORN,Physical,1,1,1,0,0
BHRA-BIGHORN,Chemical,1,1,1,0,0
BHRA-BIGHORN,Nutrients,1,1,1,0,0
BHRA-BIGHORN,Sediment,1,1,1,0,0
BHRA-BIGHORN,Biological,1,1,1,0,0
BHRF-WQ,Physical,1,0,0,0,0
BHRF-WQ,Chemical,1,0,0,0,0
BHRF-WQ,Sediment,1,0,0,0,0
BHRF-WQ,Nutrients,1,0,0,0,0
BHWC-ELKMM,Physical,1,0,1,0,0
BHWC-ELKMM,Chemical,1,0,1,0,0
BHWC-ELKMM,Metals,1,0,1,0,0
BIGHOLE-ALGAE,Biological,1,0,0,0,0
BIGHOLE-ALGAE,Physical,1,0,0,0,0
BIGHOLE-ALGAE,Chemical,1,0,0,0,0
BIGHOLE-ALGAE,Sediment,0,0,0,0,0
BIGHOLE-ALGAE,Nutrients,1,0,0,0,0
BITR-BRPA,Sediment,0,1,1,0,0
BITR-BRPA,Physical,0,1,1,0,0
BITR-BRPA,Chemical,0,1,1,0,0
BITR-BRPA,Nutrients,0,1,1,0,0
BVHD-INSECT,Biological,1,0,1,0,0
CARBON-CD,Nutrients,0,0,1,0,0
CARBON-CD,Sediment,0,0,1,0,0
CARBON-CD,Physical,0,0,1,0,0
CARBON-CD,Chemical,0,0,1,0,0
CLEARWATER-BASIN,Nutrients,1,0,0,0,0
CLEARWATER-BASIN,Biological,1,0,0,0,0
CLEARWATER-BASIN,Chemical,1,0,0,0,0
FRA-WQ,Chemical,1,0,0,0,1
FRA-WQ,Physical,1,0,0,0,1
FRA-WQ,Nutrients,1,0,0,0,1
JCP,Sediment,0,0,1,0,1
JCP,Physical,0,0,1,0,1
JCP,Chemical,0,0,1,0,1
JCP,Nutrients,0,0,1,0,1
JCP,Biological,0,0,1,0,1
KWAWQ,Nutrients,1,0,1,0,0
KWAWQ,Chemical,1,0,1,0,0
LAKEMARYRONAN,Sediment,1,0,1,0,0
LAKEMARYRONAN,Nutrients,1,0,1,0,0
LAKEMARYRONAN,Physical,1,0,1,0,0
LAKEMARYRONAN,Biological,1,0,1,0,0
LB-LAKE,Nutrients,1,1,1,0,0
LB-LAKE,Chemical,1,0,0,0,0
LB-LAKE,Sediment,1,0,0,0,0
LB-LAKE,Biological,1,1,1,0,0
LB-LAKE,Physical,1,1,1,0,0
LHVWM,Physical,1,0,0,0,0
LHVWM,Metals,1,0,0,0,0
LHVWM,Nutrients,1,0,0,0,0
LHVWM,Chemical,1,0,0,0,0
LHVWM,Sediment,1,0,0,0,0
MBPHOA_POND,Chemical,1,0,0,0,0
MBPHOA_POND,Physical,1,0,0,0,0
MBPHOA_POND,Nutrients,1,0,0,0,0
MORRELL,Sediment,0,0,0,0,1
MORRELL,Nutrients,0,0,0,0,1
MST,Chemical,1,0,0,0,0
MST,Biological,1,0,0,0,0
MST,Sediment,1,1,0,0,0
MST,Physical,1,1,0,0,0
MST,Metals,0,0,0,0,0
MST,Nutrients,0,1,1,0,0
MVWQD,Nutrients,1,0,1,0,0
MVWQD,Chemical,1,0,1,0,0
MVWQD,Sediment,1,0,1,0,0
MVWQD,Physical,1,0,1,0,0
RFC-WQ,Physical,1,0,0,0,0
RFC-WQ,Nutrients,1,0,0,0,0
ROCK-CREEK,Sediment,0,0,1,0,0
ROCK-CREEK,Nutrients,0,0,1,0,0
ROCK-CREEK,Physical,1,0,0,0,0
ROCK-CREEK,Chemical,0,0,0,0,0
SFWQ,Sediment,1,0,0,0,0
SFWQ,Physical,1,0,0,0,0
SFWQ,Chemical,1,0,0,0,0
SFWQ,Nutrients,1,0,1,0,0
SRHP,Chemical,1,0,0,0,0
SRHP,Metals,1,0,0,0,0
SRHP,Nutrients,1,0,0,0,0
SRHP,Sediment,1,0,0,0,0
SRWQI,Nutrients,1,0,0,0,1
SRWQI,Sediment,1,0,0,0,1
SRWQI,Chemical,1,0,0,0,1
SRWQI,Physical,1,0,0,0,1
SRWQI,Metals,0,0,0,0,0
STUDENTS-IN-ACTION,Nutrients,1,0,1,0,1
STUDENTS-IN-ACTION,Sediment,1,0,0,0,1
SWIM-RWQ,Physical,1,0,0,0,0
SWIM-RWQ,Biological,1,0,0,0,0
TCLSC-CLH,Nutrients,1,0,0,0,0
TU-BF,Nutrients,0,1,0,0,0
TU-BF,Sediment,0,1,0,0,0
UMOWA,Biological,1,1,0,0,0
UMOWA,Chemical,1,1,0,0,0
UMOWA,Nutrients,1,1,0,0,0
UMOWA,Metals,0,0,0,0,0
UMOWA,Sediment,1,1,0,0,0
WRH20QTEAM,Nutrients,1,1,0,0,0
WRH20QTEAM,Physical,1,1,0,0,0
WRH20QTEAM,Chemical,1,1,0,0,0
YERC-RIVERNET,Nutrients,1,0,0,0,1
YERC-RIVERNET,Sediment,1,1,0,0,1
YVFC,Nutrients,1,1,1,0,0
YVFC,Sediment,0,1,1,0,0
YVFC,Physical,1,1,0,0,0
YVFC,Chemical,0,1,1,0,0
M13SUNR,Sediment,0,1,0,0,1
M13SUNR,Nutrients,0,1,0,0,1
M13SUNR,Chemical,0,1,0,0,1
M13SUNR,Physical,0,1,0,0,1
MWC-SAL,Physical,1,0,0,0,1
DEEPCREEK,Sediment,0,0,0,1,1
DEEPCREEK,Physical,0,0,0,1,1
DEEPCREEK,Nutrients,0,0,0,0,0
DEEPCREEK,Chemical,0,0,0,1,1
DEEPCREEK,Biological,0,0,0,1,1
NMLN,Physical,0,0,0,0,1
NMLN,Chemical,0,1,0,0,0
NMLN,Nutrients,0,1,0,0,0
NMLN,Biological,0,1,0,0,1
NWMTLVMN,Biological,1,1,0,0,0
NWMTLVMN,Nutrients,1,1,0,0,0
NWMTLVMN,Sediment,0,0,0,0,0
NWMTLVMN,Chemical,1,1,0,0,0
UPGAL-GRTF,Nutrients,1,0,1,0,0
UPGAL-GRTF,Physical,1,0,1,0,0
UPGAL-GRTF,Sediment,1,0,1,0,0
UPGAL-GRTF,Chemical,1,0,1,0,0
UPGAL-GRTF,Biological,1,0,1,0,0
WWQMP,Chemical,1,0,0,0,1
WWQMP,Physical,1,0,0,0,1
WWQMP,Sediment,1,0,0,0,1
WWQMP,Biological,1,0,0,0,1
WWQMP,Nutrients,1,0,0,0,1
WWQMP,Metals,0,0,0,0,0
CLEARWATER-NUT,Nutrients,1,0,1,0,0
CLEARWATER-NUT,Sediment,1,0,1,0,0
CLEARWATER-NUT,Physical,1,0,1,0,0
GGWC,Metals,0,1,0,0,0
GGWC,Chemical,0,1,0,0,0
GGWC,Nutrients,0,1,0,0,0
GGWC,Sediment,0,1,0,0,0
GGWC,Physical,0,1,0,0,0
GGWC,Biological,0,1,0,0,0
GLWQD-SWMN,Physical,1,0,0,0,0
GLWQD-SWMN,Chemical,1,0,0,0,0
GLWQD-SWMN,Nutrients,0,1,0,0,0
GLWQD-SWMN,Biological,0,1,0,0,0
GLWQD-SWMN,Sediment,0,1,0,0,0
