ProjectID_Simple,Parameter_type,Goal_baseline,Goal_trend,Goal_source,Goal_effective,Goal_education,dataCount,months_sampled,median_analytes_per_year,median_sites_per_year,median_datapoints_per_site_year,spatial_intensity_ratio,median_months_per_year
UG-GRTF,Nutrients,0,1,0,1,0,231,4,3,16,3,0.1875,1
UG-GRTF,Biological,0,1,0,1,0,27,3,1,11.5,1,0.08695652173913043,1.5
UG-GRTF,Physical,0,1,0,0,0,27,3,1,11.5,1,0.08695652173913043,1.5
UG-GRTF,Chemical,0,0,1,0,0,95,2,2.5,18.5,2.5,0.13513513513513514,1
UG-GRTF,Sediment,0,1,0,1,0,23,1,1,21,1,0.047619047619047616,1
ADOPTALAKE,Physical,1,0,0,0,1,2549,68,2,14.5,14,0.9655172413793104,6
ADOPTALAKE,Nutrients,1,0,0,0,1,392,6,4,24,12,0.5,6
ADOPTALAKE,Biological,1,0,0,0,1,164,4,2,18,8,0.4444444444444444,4
BHRA-BIGHORN,Physical,1,1,1,0,0,440,13,2,8,20,2.5,4
BHRA-BIGHORN,Chemical,1,1,1,0,0,429,13,2,9,16,1.7777777777777777,4
BHRA-BIGHORN,Nutrients,1,1,1,0,0,696,13,4,9,27,3,4
BHRA-BIGHORN,Sediment,1,1,1,0,0,463,13,3,9,20,2.2222222222222223,4
BHRA-BIGHORN,Biological,1,1,1,0,0,183,13,1,8,8,1,4
BHRF-WQ,Physical,1,0,0,0,0,1215,32,3,10,24,2.4,6
BHRF-WQ,Chemical,1,0,0,0,0,1078,33,3,10,22,2.2,7
BHRF-WQ,Sediment,1,0,0,0,0,902,33,2,10,17,1.7,7
BHRF-WQ,Nutrients,1,0,0,0,0,1680,33,3,10,30,3,7
BHWC-ELKMM,Physical,1,0,1,0,0,285,5,3.5,21.5,7.75,0.36046511627906974,2.5
BHWC-ELKMM,Chemical,1,0,1,0,0,452,6,5,22,10.5,0.4772727272727273,3
BHWC-ELKMM,Metals,1,0,1,0,0,600,5,6,21.5,15,0.6976744186046512,2.5
BIGHOLE-ALGAE,Biological,1,0,0,0,0,176,1,2,3,56,18.666666666666668,1
BIGHOLE-ALGAE,Physical,1,0,0,0,0,21,1,6,4,6.5,1.625,1
BIGHOLE-ALGAE,Chemical,1,0,0,0,0,6,1,2,3,2,0.6666666666666666,1
BIGHOLE-ALGAE,Sediment,0,0,0,0,0,16,2,2,14,1,0.07142857142857142,2
BIGHOLE-ALGAE,Nutrients,1,0,0,0,0,48,1,4,10,4,0.4,1
BITR-BRPA,Sediment,0,1,1,0,0,20,3,1,4,5,1.25,3
BITR-BRPA,Physical,0,1,1,0,0,111,3,6,4,28,7,3
BITR-BRPA,Chemical,0,1,1,0,0,49,3,4,4,12.5,3.125,3
BITR-BRPA,Nutrients,0,1,1,0,0,150,3,5,4,35,8.75,3
BVHD-INSECT,Biological,1,0,1,0,0,350,1,1,4,88.5,22.125,1
CARBON-CD,Nutrients,0,0,1,0,0,1266,40,3,8,22.5,2.8125,7
